sympy,natural_language
"ForAll(a, T(u, c, y))","For all a, T of u and c and y."
"ForAll(c, S(u))","For all c, S of u."
"Exists(w, (g(v, x) == z) & (h(u) == w))","There exists an w such that g(v, x) equals z and h(u) equals w."
"ForAll(c, (Implies(Q(c, v), m(y) == x)) & (Implies(V(v), h(w) == w)))","For all c, If Q of c and v, then m(y) equals x and If V of v, then h(w) equals w."
"Exists(a, Exists(u, (h(w) == x) | (V(v, y))))",There exists an a such that There exists an u such that h(w) equals x or V of v and y.
"Exists(a, ~(~(Equivalent(m(a, w) == u, f(y) == z))))","There exists an a such that not (not (m(a, w) equals u if and only if f(y) equals z))."
"ForAll(y, (Implies(Implies(Q(c, v, a), f(a, z) == b), (Q(v, u, y)) & (g(w) == b))) | ((Implies(g(u) == y, f(z) == b)) & (Implies(g(v) == a, m(y, u) == u))))","For all y, If If Q of c and v and a, then f(a, z) equals b, then Q of v and u and y and g(w) equals b or If g(u) equals y, then f(z) equals b and If g(v) equals a, then m(y, u) equals u."
P(w),P of w.
"ForAll(y, Equivalent(g(b) == u, g(y) == a))","For all y, g(b) equals u if and only if g(y) equals a."
"ForAll(a, h(u) == u)","For all a, h(u) equals u."
(W(c)) | (P(y)),W of c or P of y.
"Exists(z, ForAll(w, Implies((Implies(P(a, v), h(c, b) == z)) & ((P(w, x, b)) | (m(x) == c)), (Implies(Q(u, x), U(v, u))) | (Implies(g(b, w) == y, m(y) == c)))))","There exists an z such that For all w, If If P of a and v, then h(c, b) equals z and P of w and x and b or m(x) equals c, then If Q of u and x, then U of v and u or If g(b, w) equals y, then m(y) equals c."
"ForAll(a, ForAll(z, ((Implies(T(y, z, b), R(v))) | (Implies(g(c, b) == v, V(v, x, b)))) | (Equivalent((m(c, x) == y) | (P(w, z, u)), ~(f(u, c) == y)))))","For all a, For all z, If T of y and z and b, then R of v or If g(c, b) equals v, then V of v and x and b or m(c, x) equals y or P of w and z and u if and only if not (f(u, c) equals y)."
"U(a, u, z)",U of a and u and z.
"ForAll(u, f(u, c) == b)","For all u, f(u, c) equals b."
"Exists(c, Exists(w, U(v, y)))",There exists an c such that There exists an w such that U of v and y.
"ForAll(v, Exists(w, (~(g(x, y) == a)) & (Equivalent(k(a) == u, V(x, u, z)))))","For all v, There exists an w such that not (g(x, y) equals a) and k(a) equals u if and only if V of x and u and z."
"ForAll(z, Implies(Implies(m(u) == a, T(a, x, z)), (k(b, u) == c) | (Q(v, w, x))))","For all z, If If m(u) equals a, then T of a and x and z, then k(b, u) equals c or Q of v and w and x."
"ForAll(a, W(y))","For all a, W of y."
"(~(Equivalent(S(z, b), S(y, b, c)))) | (((k(c, b) == z) | (h(v) == c)) | (Equivalent(T(u, v, z), m(z) == z)))","not (S of z and b if and only if S of y and b and c) or k(c, b) equals z or h(v) equals c or T of u and v and z if and only if m(z) equals z."
"ForAll(x, (Equivalent(~(k(a) == b), (k(c, u) == b) | (k(x, a) == w))) & ((Equivalent(P(y, a), R(x, v))) | (Implies(h(a, v) == a, P(c, x)))))","For all x, not (k(a) equals b) if and only if k(c, u) equals b or k(x, a) equals w and P of y and a if and only if R of x and v or If h(a, v) equals a, then P of c and x."
"Implies(R(u, z, c), S(b, v, a))","If R of u and z and c, then S of b and v and a."
"Exists(a, Q(x, v))",There exists an a such that Q of x and v.
"ForAll(w, ~(T(y)))","For all w, not (T of y)."
"ForAll(b, Equivalent(~(Equivalent(W(y, a), k(a) == z)), (Equivalent(h(y) == v, V(w, x))) | ((S(w, v)) & (h(c, x) == c))))","For all b, not (W of y and a if and only if k(a) equals z) if and only if h(y) equals v if and only if V of w and x or S of w and v and h(c, x) equals c."
"Implies(~(Implies(g(w, b) == c, m(w, b) == v)), Equivalent(Implies(f(u) == u, m(y, u) == v), Equivalent(R(v, x, b), g(y, x) == v)))","If not (If g(w, b) equals c, then m(w, b) equals v), then If f(u) equals u, then m(y, u) equals v if and only if R of v and x and b if and only if g(y, x) equals v."
k(y) == a,k(y) equals a.
"Exists(u, ForAll(c, T(y)))","There exists an u such that For all c, T of y."
"(Implies((h(y) == u) | (f(u) == z), ~(m(v, x) == u))) & (Implies((S(a, y)) & (R(v, z, x)), Implies(m(b, y) == b, h(b, y) == x)))","If h(y) equals u or f(u) equals z, then not (m(v, x) equals u) and If S of a and y and R of v and z and x, then If m(b, y) equals b, then h(b, y) equals x."
"Exists(y, ForAll(a, m(z) == b))","There exists an y such that For all a, m(z) equals b."
"Equivalent((Implies(V(b, v), m(b) == y)) & (Equivalent(m(c) == b, U(b))), ((k(y, x) == u) | (m(c) == a)) | (Equivalent(Q(z, b), m(a, b) == b)))","If V of b and v, then m(b) equals y and m(c) equals b if and only if U of b if and only if k(y, x) equals u or m(c) equals a or Q of z and b if and only if m(a, b) equals b."
"Exists(b, Implies(k(c, v) == x, m(z, b) == c))","There exists an b such that If k(c, v) equals x, then m(z, b) equals c."
"Exists(c, Exists(w, ((V(u, a, x)) | (k(a, z) == b)) & (Equivalent(f(y, b) == x, g(b) == v))))","There exists an c such that There exists an w such that V of u and a and x or k(a, z) equals b and f(y, b) equals x if and only if g(b) equals v."
"Exists(y, T(u))",There exists an y such that T of u.
"Exists(a, g(x, c) == w)","There exists an a such that g(x, c) equals w."
"Exists(v, Equivalent(m(z) == z, m(b) == z))",There exists an v such that m(z) equals z if and only if m(b) equals z.
"Exists(b, Exists(a, h(y) == b))",There exists an b such that There exists an a such that h(y) equals b.
"ForAll(v, Implies(Implies(f(a) == w, f(v, x) == x), (U(u, c, v)) & (g(x) == v)))","For all v, If If f(a) equals w, then f(v, x) equals x, then U of u and c and v and g(x) equals v."
"Exists(a, Implies((U(c, v, a)) & (W(v, w)), Equivalent(S(a), f(x, v) == c)))","There exists an a such that If U of c and v and a and W of v and w, then S of a if and only if f(x, v) equals c."
"ForAll(c, ForAll(y, ~(Implies(U(u, y, w), h(y, z) == x))))","For all c, For all y, not (If U of u and y and w, then h(y, z) equals x)."
"Exists(c, Exists(y, Equivalent(m(z, a) == y, h(w) == u)))","There exists an c such that There exists an y such that m(z, a) equals y if and only if h(w) equals u."
"ForAll(w, ForAll(u, ~((Q(u, x)) & (S(z, u)))))","For all w, For all u, not (Q of u and x and S of z and u)."
"ForAll(w, (R(z, v)) & (P(z)))","For all w, R of z and v and P of z."
"ForAll(b, P(z, a))","For all b, P of z and a."
"ForAll(w, Equivalent((~(P(c, v, u))) & ((W(a)) | (f(b, y) == y)), ~(Implies(k(b, a) == y, W(u, a)))))","For all w, not (P of c and v and u) and W of a or f(b, y) equals y if and only if not (If k(b, a) equals y, then W of u and a)."
"ForAll(a, (Implies(Implies(f(y) == y, U(z, x, v)), (h(x, v) == v) & (S(z, b, y)))) & ((Implies(m(a) == c, f(v) == v)) & (~(V(y, z, w)))))","For all a, If If f(y) equals y, then U of z and x and v, then h(x, v) equals v and S of z and b and y and If m(a) equals c, then f(v) equals v and not (V of y and z and w)."
"Exists(v, Equivalent((Equivalent(m(x) == z, Q(v, b, w))) | ((k(u, y) == w) & (W(c, v))), Implies((T(u)) & (T(w, y)), (g(a) == c) & (f(x, a) == x))))","There exists an v such that m(x) equals z if and only if Q of v and b and w or k(u, y) equals w and W of c and v if and only if If T of u and T of w and y, then g(a) equals c and f(x, a) equals x."
